Date,regime
2022-01-02,
2022-01-03,
2022-01-04,
2022-01-05,
2022-01-06,
2022-01-07,
2022-01-08,
2022-01-09,
2022-01-10,
2022-01-11,
2022-01-12,
2022-01-13,
2022-01-14,
2022-01-15,
2022-01-16,
2022-01-17,
2022-01-18,
2022-01-19,
2022-01-20,
2022-01-21,
2022-01-22,
2022-01-23,
2022-01-24,
2022-01-25,
2022-01-26,
2022-01-27,
2022-01-28,
2022-01-29,
2022-01-30,
2022-01-31,stable_range
2022-02-01,stable_range
2022-02-02,stable_range
2022-02-03,stable_range
2022-02-04,stress
2022-02-05,stress
2022-02-06,stress
2022-02-07,stress
2022-02-08,stress
2022-02-09,stress
2022-02-10,stress
2022-02-11,stress
2022-02-12,stress
2022-02-13,stress
2022-02-14,stress
2022-02-15,stress
2022-02-16,stress
2022-02-17,stress
2022-02-18,stress
2022-02-19,stress
2022-02-20,stress
2022-02-21,stress
2022-02-22,stress
2022-02-23,stress
2022-02-24,stress
2022-02-25,stress
2022-02-26,stress
2022-02-27,stress
2022-02-28,panic
2022-03-01,panic
2022-03-02,panic
2022-03-03,panic
2022-03-04,panic
2022-03-05,panic
2022-03-06,panic
2022-03-07,panic
2022-03-08,panic
2022-03-09,panic
2022-03-10,panic
2022-03-11,panic
2022-03-12,panic
2022-03-13,panic
2022-03-14,panic
2022-03-15,panic
2022-03-16,panic
2022-03-17,panic
2022-03-18,panic
2022-03-19,panic
2022-03-20,panic
2022-03-21,panic
2022-03-22,panic
2022-03-23,panic
2022-03-24,panic
2022-03-25,panic
2022-03-26,panic
2022-03-27,panic
2022-03-28,panic
2022-03-29,panic
2022-03-30,stress
2022-03-31,stress
2022-04-01,stress
2022-04-02,stress
2022-04-03,stable_range
2022-04-04,stable_range
2022-04-05,stable_range
2022-04-06,stress
2022-04-07,stress
2022-04-08,stable_range
2022-04-09,stable_range
2022-04-10,stable_range
2022-04-11,stable_range
2022-04-12,stable_range
2022-04-13,stable_range
2022-04-14,stable_range
2022-04-15,stable_range
2022-04-16,stable_range
2022-04-17,stable_range
2022-04-18,stable_range
2022-04-19,stable_range
2022-04-20,stable_range
2022-04-21,stable_range
2022-04-22,stable_range
2022-04-23,stable_range
2022-04-24,stable_range
2022-04-25,stable_range
2022-04-26,stable_range
2022-04-27,stable_range
2022-04-28,stable_range
2022-04-29,stable_range
2022-04-30,stable_range
2022-05-01,stable_range
2022-05-02,stable_range
2022-05-03,stable_range
2022-05-04,stable_range
2022-05-05,stress
2022-05-06,stress
2022-05-07,stress
2022-05-08,stress
2022-05-09,stress
2022-05-10,stress
2022-05-11,stress
2022-05-12,stress
2022-05-13,stress
2022-05-14,stress
2022-05-15,stress
2022-05-16,stress
2022-05-17,stress
2022-05-18,stress
2022-05-19,panic
2022-05-20,panic
2022-05-21,panic
2022-05-22,panic
2022-05-23,panic
2022-05-24,panic
2022-05-25,panic
2022-05-26,panic
2022-05-27,panic
2022-05-28,stress
2022-05-29,panic
2022-05-30,panic
2022-05-31,panic
2022-06-01,panic
2022-06-02,panic
2022-06-03,panic
2022-06-04,panic
2022-06-05,panic
2022-06-06,panic
2022-06-07,panic
2022-06-08,stress
2022-06-09,stress
2022-06-10,stress
2022-06-11,stress
2022-06-12,stress
2022-06-13,panic
2022-06-14,panic
2022-06-15,panic
2022-06-16,panic
2022-06-17,panic
2022-06-18,panic
2022-06-19,panic
2022-06-20,panic
2022-06-21,panic
2022-06-22,panic
2022-06-23,panic
2022-06-24,panic
2022-06-25,panic
2022-06-26,panic
2022-06-27,panic
2022-06-28,panic
2022-06-29,panic
2022-06-30,panic
2022-07-01,panic
2022-07-02,panic
2022-07-03,panic
2022-07-04,panic
2022-07-05,panic
2022-07-06,panic
2022-07-07,panic
2022-07-08,panic
2022-07-09,panic
2022-07-10,panic
2022-07-11,panic
2022-07-12,panic
2022-07-13,stress
2022-07-14,stress
2022-07-15,stress
2022-07-16,stress
2022-07-17,stress
2022-07-18,stress
2022-07-19,stress
2022-07-20,stress
2022-07-21,stress
2022-07-22,stress
2022-07-23,stable_range
2022-07-24,stable_range
2022-07-25,stress
2022-07-26,stress
2022-07-27,stress
2022-07-28,stress
2022-07-29,stress
2022-07-30,stress
2022-07-31,stress
2022-08-01,stress
2022-08-02,stress
2022-08-03,stress
2022-08-04,stress
2022-08-05,stress
2022-08-06,stress
2022-08-07,stress
2022-08-08,stress
2022-08-09,stress
2022-08-10,stress
2022-08-11,stress
2022-08-12,stable_range
2022-08-13,stable_range
2022-08-14,stable_range
2022-08-15,stable_range
2022-08-16,stable_range
2022-08-17,stable_range
2022-08-18,stable_range
2022-08-19,stress
